-114,114,-74,67,-56,57,-68,55,-43,41,-22,20,-98,68,-97,108,0
-119,127,-85,62,-44,43,-118,106,-66,40,-36,22,-90,64,-102,97,0
-114,120,-87,91,-59,58,-124,127,-49,58,-37,38,-95,96,-102,87,0
-128,127,-72,77,-43,43,-100,105,-60,67,-30,29,-114,127,-111,98,0
-128,127,-90,59,-65,45,-128,75,-61,35,-28,29,-70,84,-116,100,0
-48,31,-69,56,-29,26,-116,115,-114,127,-91,107,-60,41,-90,71,1
-61,58,-66,99,-57,52,-128,113,-121,127,-117,103,-128,108,-104,100,1
-62,62,-68,79,-36,39,-97,123,-127,127,-128,122,-91,83,-105,94,1
-59,54,-58,72,-56,41,-128,105,-114,127,-116,93,-108,127,-91,111,1
-73,41,-70,56,-45,25,-105,127,-128,119,-104,90,-104,81,-91,127,1
-108,82,-67,79,-32,23,-81,84,-94,102,-39,49,-37,36,-60,81,2
-120,81,-118,127,-128,97,-125,118,-128,94,-45,41,-62,38,-74,85,2
-106,75,-123,117,-105,75,-125,114,-107,127,-83,68,-82,45,-83,98,2
-110,111,-72,93,-72,78,-128,97,-128,104,-57,28,-68,42,-100,90,2
-128,127,-128,120,-107,107,-128,98,-91,92,-39,38,-96,49,-102,118,2
-88,70,-29,24,-28,27,-20,17,-46,53,-90,114,-59,54,-115,127,3
-70,71,-58,41,-55,91,-71,40,-92,87,-90,85,-88,68,-114,119,3
-117,113,-48,35,-19,17,-49,38,-66,47,-69,83,-64,68,-109,127,3
-88,105,-39,36,-25,28,-32,26,-60,42,-100,107,-90,80,-112,122,3
-112,95,-72,44,-24,34,-58,40,-59,47,-81,85,-70,79,-128,127,3
