-3,2,-2,-3,0,0,0,0,0
1,0,-2,-5,-4,-3,-2,-16,0
1,0,-2,-5,-4,-3,-2,-16,0
3,3,1,-2,-1,1,-2,6,0
3,-8,-5,-1,-2,-2,-3,-1,0
3,-8,-5,-1,-2,-2,-3,-1,0
1,1,-2,-1,-4,-1,-1,2,0
-5,1,2,3,1,-2,-2,3,0
-2,-9,-1,-2,-2,-2,-4,-6,0
-2,-9,-1,-2,-2,-2,-4,-6,0
-2,-9,-1,-2,-2,-2,-4,-6,0
0,2,-1,-2,0,0,0,1,0
1,3,-2,0,0,1,-1,-1,0
1,-1,-1,1,-1,-1,-1,1,0
1,-1,-1,1,-1,-1,-1,1,0
-3,0,-4,-7,-4,-2,-2,1,0
-3,0,-4,-7,-4,-2,-2,1,0
3,-2,1,4,1,-1,-2,-8,0
3,-2,1,4,1,-1,-2,-8,0
-5,-1,-3,0,-4,0,-1,0,0
-5,-1,-3,0,-4,0,-1,0,0
2,5,2,-1,2,0,-1,4,0
2,5,2,-1,2,0,-1,4,0
-4,-3,-5,-5,-2,-1,-1,-3,0
-3,2,1,1,1,-1,-2,-14,0
-3,2,1,1,1,-1,-2,-14,0
0,2,3,1,-2,-2,0,5,0
0,2,3,1,-2,-2,0,5,0
-3,-6,-3,-1,-2,-1,-3,1,0
2,-1,-5,-2,0,-2,-1,-2,0
2,-1,-5,-2,0,-2,-1,-2,0
2,3,-2,-3,-1,1,-1,2,0
2,3,-2,-3,-1,1,-1,2,0
-2,1,0,-1,0,-1,0,1,0
2,-6,1,3,2,0,-1,-1,0
2,-6,1,3,2,0,-1,-1,0
-4,-4,-2,-3,-1,-3,0,-2,0
-4,-4,-2,-3,-1,-3,0,-2,0
4,5,5,2,2,2,0,6,0
1,0,-1,-2,-1,-1,0,0,0
1,0,-1,-2,-1,-1,0,0,0
-4,1,-2,2,-2,-3,-3,-9,0
-4,1,-2,2,-2,-3,-3,-9,0
-3,-1,-5,-2,-3,-2,0,2,0
1,-2,-4,-3,-2,-2,-2,-2,0
1,-2,-4,-3,-2,-2,-2,-2,0
-5,0,-1,-1,-2,0,-2,-1,0
-5,0,-1,-1,-2,0,-2,-1,0
0,-1,4,0,1,-1,0,-1,0
-4,-3,-5,0,0,-2,-1,-1,0
1,-11,-1,-1,-3,1,-3,1,0
-2,1,-5,-5,-1,-1,-2,-2,0
-2,1,-5,-5,-1,-1,-2,-2,0
-5,-1,-2,4,-3,-3,-2,-3,0
-5,-1,-2,4,-3,-3,-2,-3,0
0,-5,5,1,-1,-1,0,1,0
0,-5,5,1,-1,-1,0,1,0
3,1,-1,0,-1,-1,-1,-1,0
3,1,-1,0,-1,-1,-1,-1,0
4,-3,-2,-1,0,-1,0,1,0
3,-1,0,-1,0,-1,-1,2,0
3,-1,0,-1,0,-1,-1,2,0
-5,0,-2,-1,1,1,1,-2,0
-5,0,-2,-1,1,1,1,-2,0
1,6,-2,-5,0,1,1,2,0
-1,-3,-1,2,0,-1,2,4,0
-10,-3,-4,-2,-4,-3,-3,-7,0
3,4,1,3,1,-1,0,2,0
3,4,1,3,1,-1,0,2,0
-3,-7,-3,-1,-3,-2,-3,3,0
-3,-7,-3,-1,-3,-2,-3,3,0
1,5,2,-3,-2,1,0,-1,0
4,0,-6,-4,-2,-2,-2,-6,0
4,0,-6,-4,-2,-2,-2,-6,0
4,0,-6,-4,-2,-2,-2,-6,0
1,-3,-4,-5,-4,-3,-2,-3,0
2,4,0,0,0,1,1,1,0
1,1,-1,-2,-3,0,1,6,0
1,1,-1,-2,-3,0,1,6,0
-17,1,1,1,-1,1,-1,-7,0
-17,1,1,1,-1,1,-1,-7,0
-1,-5,3,4,3,-1,-2,-3,0
2,-1,-2,-3,-2,0,-1,0,0
2,-1,-2,-3,-2,0,-1,0,0
0,-6,-6,-4,-3,-3,-1,3,0
0,-6,-6,-4,-3,-3,-1,3,0
0,-6,-6,-4,-3,-3,-1,3,0
-3,4,2,3,2,-2,0,-1,0
1,-1,2,0,0,-2,-2,-1,0
4,1,-1,-2,-4,-2,-3,-2,0
4,1,-1,-2,-4,-2,-3,-2,0
-5,-3,-6,-5,0,-1,-1,-2,0
-5,-3,-6,-5,0,-1,-1,-2,0
-5,-2,2,2,2,-1,-2,-11,0
-5,-2,2,2,2,-1,-2,-11,0
1,2,-1,-1,-5,-1,-2,0,0
1,2,-1,-1,-5,-1,-2,0,0
4,5,-3,-7,-3,0,-1,1,0
-7,-6,0,1,-2,-1,-1,-2,0
-15,-2,-1,1,-1,-2,-2,0,0
0,-2,1,0,-1,-2,-1,-1,0
0,-2,1,0,-1,-2,-1,-1,0
1,-6,8,4,1,-1,0,3,0
1,-6,8,4,1,-1,0,3,0
0,2,-2,-2,-1,-2,-1,2,0
-21,-2,1,2,-1,1,0,-2,0
-2,2,-5,-2,-2,-2,-1,-5,0
-7,-2,-4,0,0,-2,-2,-3,0
-7,-2,-4,0,0,-2,-2,-3,0
-1,-8,-6,0,-1,-2,-2,-1,0
2,3,1,0,1,-1,-2,-5,0
6,-2,-5,-4,-3,-1,-1,10,0
-7,1,3,0,-2,-1,0,-1,0
10,-1,0,-2,-1,-1,-1,-3,0
-1,-3,1,0,0,0,1,0,0
6,-3,-1,0,2,-1,-2,1,0
-6,-3,-5,-3,-2,-2,-2,-9,0
2,3,3,0,0,-1,0,1,0
2,3,3,0,0,-1,0,1,0
-9,-3,3,0,1,-1,-2,-18,0
5,-3,-5,-2,-3,-2,-2,-1,0
-7,-2,-1,0,0,1,-2,3,0
1,3,-2,-1,-2,-2,-2,0,0
1,3,-2,-1,-2,-2,-2,0,0
-1,2,0,-1,-2,-1,0,-1,0
-1,2,0,-1,-2,-1,0,-1,0
0,-5,-3,-3,-3,-3,-3,-4,0
-1,1,1,1,0,-1,0,2,0
-3,8,1,1,-1,-1,-1,-11,0
-2,-3,-4,-3,-2,-2,-2,7,0
