-11,8,-5,3,-6,2,-9,4,-16,8,-12,12,-24,26,-38,51,0
-4,4,-5,2,-4,2,-6,3,-9,4,-10,9,-19,20,-18,44,0
-4,3,-3,2,-4,2,-5,4,-10,5,-12,7,-26,18,-20,23,0
-5,3,-4,3,-5,2,-8,4,-9,5,-10,6,-13,17,-27,24,0
-5,3,-4,2,-5,3,-7,5,-11,7,-9,7,-12,24,-21,26,0
-6,3,-5,2,-6,3,-8,4,-8,4,-9,9,-16,19,-18,22,0
-6,2,-5,2,-5,2,-8,5,-8,4,-11,7,-14,14,-23,32,0
-5,3,-4,2,-5,2,-7,2,-8,4,-10,6,-11,13,-17,24,0
-6,2,-4,2,-6,2,-7,4,-11,5,-13,9,-16,15,-13,20,0
-12,38,-5,3,-3,1,-4,1,-5,2,-5,2,-4,2,-16,22,0
-14,6,-6,2,-4,1,-4,2,-5,2,-6,4,-5,5,-19,27,0
-9,7,-5,3,-4,1,-4,2,-4,2,-7,3,-6,4,-15,30,0
-8,5,-6,3,-3,1,-4,3,-4,1,-6,3,-5,4,-21,30,0
-9,8,-6,3,-4,1,-4,2,-5,2,-5,3,-5,3,-22,33,0
-7,7,-5,4,-3,2,-4,2,-4,1,-5,2,-8,4,-19,29,0
-6,6,-4,2,-4,2,-4,2,-4,2,-4,2,-5,3,-15,27,0
-7,6,-4,3,-4,1,-4,1,-5,2,-4,2,-7,3,-19,30,0
-8,11,-5,3,-4,2,-3,1,-4,1,-5,3,-6,5,-18,30,0
-6,6,-4,4,-4,1,-4,2,-6,3,-6,3,-4,4,-20,31,0
-6,5,-5,3,-4,2,-4,1,-5,2,-6,3,-6,3,-17,34,0
-7,5,-4,3,-3,2,-5,2,-4,1,-5,2,-6,3,-18,29,0
-6,5,-5,3,-4,2,-4,1,-4,1,-4,3,-5,4,-18,29,0
-6,6,-5,3,-4,2,-3,2,-4,1,-5,2,-8,6,-15,21,0
-6,5,-4,3,-4,2,-3,1,-4,1,-4,3,-5,4,-17,27,0
-8,5,-4,4,-3,2,-4,1,-4,2,-6,2,-6,3,-8,7,0
-6,4,-4,3,-4,2,-4,1,-4,2,-5,3,-5,3,-8,7,0
-4,6,-4,2,-3,1,-4,2,-4,2,-5,2,-5,2,-8,6,0
-5,5,-5,2,-3,2,-4,2,-4,1,-6,2,-5,3,-6,7,0
-6,5,-4,3,-4,2,-3,2,-4,2,-5,2,-6,3,-6,6,0
-7,6,-4,2,-4,2,-4,3,-5,2,-5,2,-5,2,-8,7,0
-95,82,-51,53,-12,11,-10,6,-8,7,-7,5,-17,26,-46,33,1
-97,79,-72,42,-15,11,-10,8,-14,6,-9,6,-32,25,-67,46,1
-93,102,-49,37,-18,11,-12,6,-8,6,-11,8,-21,14,-83,57,1
-94,108,-90,75,-44,26,-21,16,-16,12,-21,13,-43,23,-84,72,1
-88,83,-58,25,-21,9,-12,5,-7,3,-11,4,-18,9,-50,37,1
-103,127,-61,75,-26,22,-19,14,-15,9,-16,11,-21,24,-62,78,1
-77,80,-49,26,-15,11,-9,6,-6,3,-8,6,-15,10,-40,30,1
-82,107,-37,35,-13,13,-8,7,-16,8,-9,7,-15,10,-35,26,1
-99,112,-69,60,-30,22,-20,13,-15,9,-18,14,-43,52,-65,61,1
-116,91,-69,58,-30,17,-15,11,-14,9,-15,9,-25,19,-55,35,1
-107,105,-45,49,-17,10,-13,6,-14,13,-10,6,-15,25,-65,33,1
-111,126,-49,44,-16,21,-10,8,-8,6,-11,6,-13,14,-45,29,1
-74,95,-39,24,-13,15,-8,5,-6,3,-7,5,-14,8,-35,39,1
-93,78,-53,34,-16,12,-10,4,-7,3,-8,5,-22,10,-58,43,1
-101,79,-53,39,-12,12,-15,7,-17,5,-7,5,-25,10,-46,30,1
-105,125,-53,42,-22,22,-14,13,-10,8,-12,9,-26,17,-60,54,1
-106,95,-43,54,-13,23,-8,11,-6,10,-10,13,-18,24,-41,57,1
-93,66,-43,36,-15,11,-9,7,-16,26,-7,6,-13,9,-42,40,1
-99,72,-48,30,-18,12,-20,15,-65,83,-8,6,-19,12,-64,53,1
-96,73,-26,17,-9,17,-8,12,-8,5,-7,5,-18,9,-40,37,1
-98,84,-59,33,-25,15,-14,9,-51,38,-14,6,-25,14,-46,51,1
-92,70,-32,24,-10,10,-9,5,-8,6,-7,5,-17,11,-36,26,1
-76,87,-22,21,-11,7,-7,5,-6,4,-7,8,-26,49,-73,35,1
-109,119,-90,63,-15,16,-10,6,-9,5,-12,6,-15,12,-76,47,1
-89,86,-40,35,-11,10,-13,11,-52,48,-9,7,-15,15,-46,37,1
-82,99,-37,22,-19,8,-13,8,-9,5,-10,5,-18,8,-51,33,1
-104,59,-35,43,-12,8,-8,6,-7,5,-9,6,-16,12,-57,63,1
-93,85,-62,34,-15,10,-13,4,-8,4,-8,6,-17,10,-38,39,1
-82,118,-49,50,-16,19,-9,10,-9,8,-10,10,-40,44,-48,44,1
-94,82,-37,49,-18,13,-14,7,-10,6,-9,6,-15,13,-49,41,1
-128,127,-97,87,-108,86,-92,42,-34,40,-41,40,-93,63,-98,117,2
-105,127,-105,90,-50,38,-40,34,-66,62,-75,63,-71,46,-90,117,2
-128,127,-106,112,-51,45,-39,34,-70,22,-74,35,-74,62,-128,94,2
-128,127,-118,102,-55,76,-71,72,-62,91,-39,38,-70,52,-99,84,2
-124,127,-97,112,-55,52,-47,39,-29,35,-64,44,-96,51,-128,120,2
-128,109,-95,72,-69,39,-45,26,-35,23,-35,18,-63,34,-85,63,2
-128,127,-110,107,-73,48,-48,34,-34,19,-32,24,-84,62,-69,100,2
-125,127,-124,127,-65,51,-37,31,-27,23,-49,38,-76,90,-100,94,2
-128,116,-100,107,-104,107,-56,55,-36,28,-26,28,-47,62,-85,90,2
-128,127,-128,113,-80,62,-41,34,-34,26,-41,29,-116,65,-116,102,2
-128,127,-128,101,-63,52,-39,30,-42,25,-88,43,-46,57,-112,98,2
-124,127,-118,119,-46,54,-35,36,-45,26,-101,69,-63,93,-128,103,2
-107,127,-112,98,-56,52,-29,30,-24,25,-40,36,-88,110,-75,127,2
-121,127,-122,127,-71,70,-42,39,-41,28,-32,39,-52,69,-80,101,2
-128,127,-101,96,-51,41,-32,24,-32,25,-39,32,-64,86,-108,77,2
-128,127,-92,86,-51,44,-29,27,-26,21,-33,27,-76,59,-91,79,2
-125,127,-101,74,-45,32,-29,26,-26,31,-68,44,-104,71,-95,106,2
-128,127,-128,127,-65,62,-45,52,-49,30,-37,25,-75,67,-128,122,2
-128,121,-113,125,-86,69,-55,46,-39,28,-43,27,-60,95,-111,90,2
-128,127,-71,90,-41,31,-46,52,-27,24,-22,23,-54,49,-119,95,2
-128,123,-76,87,-51,50,-42,43,-27,29,-52,38,-79,84,-90,108,2
-128,127,-116,73,-114,105,-39,43,-21,19,-34,29,-81,75,-90,94,2
-128,121,-97,61,-59,49,-54,27,-32,19,-24,23,-56,43,-113,100,2
-128,119,-107,94,-52,39,-49,30,-31,20,-42,26,-73,57,-128,120,2
-128,127,-66,63,-38,33,-27,23,-24,25,-42,82,-42,67,-123,78,2
-114,127,-128,83,-75,30,-52,30,-32,20,-41,31,-80,71,-112,94,2
-128,101,-128,127,-58,76,-43,49,-30,42,-36,58,-92,106,-128,127,2
-128,127,-80,87,-34,43,-25,29,-23,25,-21,25,-58,52,-59,90,2
-128,127,-108,112,-58,47,-36,30,-28,22,-34,23,-55,56,-119,115,2
-117,127,-87,66,-41,32,-30,23,-38,19,-38,34,-89,49,-109,102,2
-128,127,-96,119,-98,104,-91,66,-33,36,-70,62,-83,85,-101,81,4
-128,127,-128,126,-128,127,-57,43,-44,35,-53,39,-48,77,-109,104,4
-128,127,-79,79,-70,62,-42,32,-26,27,-52,63,-78,80,-120,88,4
-112,114,-104,76,-69,57,-54,39,-25,21,-50,27,-48,39,-100,96,4
-128,127,-128,127,-128,108,-71,45,-44,44,-44,77,-84,113,-92,95,4
-128,127,-106,124,-85,88,-46,45,-36,29,-84,81,-105,98,-88,117,4
-128,127,-102,87,-61,72,-36,33,-22,31,-42,58,-54,71,-73,87,4
-111,127,-124,77,-57,64,-36,34,-31,26,-55,69,-72,59,-73,95,4
-128,127,-115,99,-55,66,-62,40,-59,28,-96,114,-70,102,-88,102,4
-112,127,-96,122,-71,61,-50,52,-31,28,-64,53,-82,47,-81,107,4
-128,127,-120,127,-85,99,-50,69,-32,25,-64,112,-77,114,-85,127,4
-128,121,-128,100,-121,110,-48,55,-31,34,-59,72,-84,84,-125,103,4
-123,127,-93,116,-41,53,-37,40,-19,27,-40,38,-39,54,-111,127,4
