-66,59,-32,22,-12,7,-6,6,-5,4,-7,2,-11,5,-57,37,0
-38,36,-19,12,-9,15,-5,6,-5,2,-5,2,-6,4,-38,23,0
-25,32,-21,13,-8,12,-5,4,-4,4,-4,2,-6,3,-23,25,0
-43,46,-20,14,-8,8,-7,6,-4,3,-4,2,-7,4,-31,21,0
-36,28,-18,11,-8,8,-5,5,-4,2,-5,2,-8,4,-18,26,0
-33,23,-38,25,-30,29,-15,17,-6,5,-4,4,-6,3,-25,22,0
-33,23,-8,6,-5,3,-4,2,-3,1,-5,2,-10,8,-20,11,0
-23,14,-11,4,-6,3,-3,2,-4,1,-5,3,-14,13,-23,13,0
-25,12,-6,6,-6,3,-4,2,-4,2,-5,2,-12,10,-23,12,0
-9,6,-7,9,-4,3,-3,1,-3,1,-4,2,-16,9,-17,14,0
-11,7,-6,3,-5,2,-3,2,-4,1,-5,2,-14,9,-21,19,0
-8,4,-8,5,-5,3,-4,2,-3,2,-6,3,-14,9,-17,14,0
-9,7,-7,6,-5,2,-4,1,-3,1,-5,2,-16,10,-19,15,0
-6,4,-9,4,-5,3,-4,2,-4,1,-5,2,-14,8,-16,21,0
-7,7,-7,5,-4,2,-23,12,-14,5,-10,6,-19,13,-37,23,0
-7,4,-5,3,-4,2,-4,1,-3,2,-6,3,-15,7,-19,15,0
-5,3,-4,4,-4,3,-4,2,-3,2,-5,3,-16,14,-14,12,0
-6,3,-5,3,-4,2,-4,2,-4,1,-6,3,-13,13,-21,15,0
-7,6,-6,6,-5,2,-4,2,-5,1,-6,4,-26,20,-20,17,0
-6,4,-4,5,-5,2,-4,3,-4,1,-5,2,-23,19,-18,16,0
-5,4,-4,3,-4,3,-4,2,-3,2,-4,3,-25,11,-15,22,0
-6,4,-6,3,-4,2,-4,2,-4,1,-4,3,-19,16,-24,10,0
-5,4,-4,5,-4,2,-3,1,-4,1,-4,1,-20,10,-12,11,0
-6,3,-5,3,-4,3,-6,3,-5,2,-5,2,-13,9,-16,14,0
-5,2,-4,4,-5,3,-4,2,-3,1,-4,3,-15,11,-15,9,0
-40,22,-10,5,-4,2,-4,1,-4,2,-6,3,-16,10,-21,15,0
-41,24,-6,5,-4,2,-4,2,-4,1,-6,2,-23,15,-28,22,0
-42,21,-5,4,-4,2,-4,2,-4,1,-4,2,-10,8,-19,14,0
-38,20,-7,4,-4,1,-4,2,-4,1,-4,2,-22,8,-25,22,0
-23,19,-6,2,-4,2,-3,1,-3,1,-4,1,-20,12,-18,16,0
-35,16,-6,5,-4,2,-3,1,-4,1,-3,3,-14,11,-42,16,0
-29,25,-5,2,-4,2,-4,2,-4,1,-6,2,-16,7,-18,21,0
-40,27,-7,3,-5,2,-5,2,-4,2,-5,2,-10,4,-30,25,0
-44,21,-6,3,-5,1,-4,1,-4,1,-4,1,-7,8,-22,19,0
